device_vendor,device_type,[HostAndAudience]AudioAndVideoDurationMinutes
samsung,sm-a536b,138330.03333333300
samsung,sm-s928n,137232.10000000000
samsung,sc-51c,137160.60000000000
google,pixel 9,137136.30000000000
samsung,sm-e225f,137120.58333333300
samsung,sm-e546b,137099.60000000000
samsung,sm-p610,137034.0666666670
samsung,sm-s926n,136456.46666666700
samsung,sm-x210,136025.3166666670
samsung,sm-g996u,135370.53333333300
samsung,sm-a166p,134893.7833333330
samsung,sm-a155m,134086.05000000000
google,pixel 7 pro,133954.03333333300
samsung,sm-n960u,133562.15000000000
samsung,sm-a135m,133384.98333333300
samsung,sm-n970u,133183.86666666700
samsung,sm-t500,132503.25000000000
samsung,sm-a065m,131603.51666666700
samsung,sm-a165f,131589.40000000000
samsung,sm-a135u,131246.68333333300
samsung,sc-51e,131154.10000000000
samsung,sm-a235m,130925.31666666700
samsung,sm-g996b,130918.35000000000
samsung,sm-s918n,130326.86666666700
samsung,sm-a356b,129948.5666666670
samsung,sm-n975u1,129894.05000000000
samsung,sm-a546u,129839.26666666700
samsung,sm-f936u1,129624.21666666700
google,pixel 6,128624.38333333300
samsung,sm-a356u,128008.5833333330
samsung,sm-a025f,127892.01666666700
samsung,sm-s908n,127798.46666666700
samsung,sm-a536u,127797.5833333330
samsung,sm-g991u,127716.30000000000
samsung,sm-m025f,127442.28333333300
samsung,sc-53d,127399.31666666700
samsung,sm-g960u1,127276.11666666700
samsung,sm-j810g,127089.10000000000
samsung,sm-a716u,126963.90000000000
samsung,sm-a205f,126838.38333333300
samsung,sm-s908b,126471.45000000000
samsung,sm-s928u1,126160.26666666700
samsung,sm-f946u1,126129.8333333330
samsung,scg26,126007.66666666700
samsung,sm-g990b,125767.48333333300
samsung,sm-s938u,125321.80000000000
samsung,sm-a037u,125258.7833333330
samsung,sm-g960u1,125159.25000000000
samsung,sm-p613,125159.00000000000
samsung,sm-n981u1,124998.45000000000
samsung,sm-a127m,124614.20000000000
samsung,sm-t227u,124432.16666666700
samsung,sm-a736b,124233.86666666700
samsung,sm-a256e,123881.91666666700
samsung,sm-m156b,123483.85000000000
samsung,sm-a715f,123444.83333333300
samsung,sm-a505fn,123405.66666666700
samsung,sm-m015g,123323.28333333300
samsung,sm-s711u,123081.33333333300
samsung,sm-a725f,123057.38333333300
samsung,sm-a156m,122742.18333333300
samsung,sm-a032m,122476.31666666700
samsung,sm-a336b,122397.40000000000
samsung,sc-51b,121948.01666666700
google,pixel 9 pro xl,121939.18333333300
samsung,sm-a166p,121913.4666666670
samsung,sm-s166v,121720.01666666700
samsung,sm-a236e,121698.71666666700
google,pixel 3a,121617.95000000000
samsung,sm-s908u1,121090.90000000000
samsung,sm-a546u1,120547.71666666700
samsung,sm-x510,119589.51666666700
samsung,sm-a146m,119403.15000000000
samsung,sm-a235f,119292.73333333300
samsung,sm-a336b,118814.71666666700
samsung,sm-a356b,118736.23333333300
samsung,sm-a135m,118595.06666666700
samsung,sm-a165f,118270.06666666700
samsung,sm-f926b,118137.36666666700
samsung,sm-a305f,118115.58333333300
samsung,sm-a057m,117943.58333333300
samsung,sm-m127g,117717.41666666700
samsung,sm-s156v,117672.70000000000
samsung,sm-a315f,117641.13333333300
samsung,sm-m305f,117579.48333333300
samsung,sm-s136dl,117360.61666666700
samsung,sm-g988u1,117088.81666666700
samsung,sm-s921n,116798.33333333300
samsung,sm-s926b,116793.98333333300
samsung,sm-a245m,116508.58333333300
samsung,sm-f415f,116220.86666666700
google,pixel 9 pro xl,116204.06666666700
samsung,sm-a336e,115847.41666666700
samsung,sm-m356b,115659.88333333300
samsung,sm-a055m,114895.18333333300
samsung,sm-f731b,114553.75000000000
samsung,sm-t290,114393.90000000000
samsung,sm-a236u,114393.38333333300
samsung,sm-s901e,114321.51666666700
samsung,sm-a136u,113898.3
samsung,sm-m127f,113694.50000000000
samsung,sc-51d,113607.26666666700
samsung,sm-s908n,113585.21666666700
samsung,sm-g781w,113539.80000000000
samsung,sm-a346m,112427.26666666700
samsung,sm-g990u1,112267.78333333300
samsung,sm-s911w,112154.48333333300
google,pixel 4a,112070.85000000000
samsung,sm-s721u,112018.4
samsung,sm-a236u,111778.30000000000
samsung,sm-e236b,111437.18333333300
samsung,sm-g986u,111066.05
samsung,sm-a166p,111001.98333333300
samsung,sm-g781v,110805.70000000000
samsung,sm-a546v,110480.18333333300
samsung,sm-a356u,110412.31666666700
samsung,sm-m215f,110144.1666666670
samsung,sm-f946u,109837.85000000000
samsung,sm-a336b,109696.28333333300
samsung,sc-52d,109358.75000000000
samsung,sm-g990b,109017.68333333300
samsung,sm-f946b,109004.53333333300
samsung,sm-s918u1,108830.98333333300
samsung,sm-n975u,108176.45
samsung,sm-m146b,108023.58333333300
samsung,sm-a057g,107927.08333333300
samsung,sm-a245f,107585.51666666700
samsung,sc-53e,107425.45000000000
samsung,sm-g991n,107256.78333333300
samsung,sm-s146vl,107166.13333333300
samsung,sm-s901e,107114.86666666700
samsung,sm-g986u1,106935.15000000000
samsung,sm-s711u1,106860.50000000000
samsung,sm-g965f,106558.60000000000
samsung,sm-s908w,106246.98333333300
samsung,sm-s236dl,105682.51666666700
samsung,sm-x218u,105140.40000000000
samsung,sm-s901n,105086.01666666700
samsung,sm-t295,104991.31666666700
samsung,sm-n950f,104983.35000000000
google,pixel 6 pro,104933.85000000000
samsung,sm-s721u,104587.70000000000
samsung,sm-x210,104337.25
samsung,sm-a156b,103761.28333333300
samsung,sm-a307fn,103705.76666666700
samsung,sm-a217m,103701.1833333330
samsung,sm-g950f,103232.9333333330
samsung,sm-j730f,103230.93333333300
samsung,sm-e236b,103154.15000000000
samsung,sm-f956u,102998.95000000000
samsung,sm-a356b,102961.46666666700
samsung,sm-e556b,102897.90000000000
samsung,sm-e225f,102605.8833333330
samsung,sc-56b,102599.83333333300
samsung,sm-g970f,102467.21666666700
samsung,sm-g781u,102408.78333333300
samsung,sm-g955f,102320.45000000000
samsung,sm-g988b,102286.90000000000
samsung,sm-f936u,102079.50000000000
samsung,sm-s938u,101919.73333333300
samsung,sm-m515f,101879.13333333300
